total_size	pearson_r	pearson_r_pval	spearman_r	spearman_r_pval	TN	FP	FN	TP	dataset	partner	partner_chain	rms_threshold	hotspot_threshold
155	0.6578134765076873	1.4215845148793567e-20	0.7009730638911135	3.1660799901984876e-24	119	6	16	14	Motif	receptor	A	2.5	1.5
73	0.6001919616627166	1.9967552129181508e-08	0.5578422686292063	2.9412282057206996e-07	58	1	8	6	Non-motif	receptor	A	2.5	1.5
780	0.6499372375952126	8.133369007039154e-95	0.6517033323837589	1.7193351389039506e-95	650	16	46	68	Approved	receptor	A	2.5	1.5
71	0.7974495965091637	8.64673113219918e-17	0.7922716722894765	1.8816785031440365e-16	45	0	6	20	Motif	peptide	B	2.5	1.5
31	0.6146408671007745	0.0002343129283239637	0.540557675944149	0.0016927823510834111	16	1	6	8	Non-motif	peptide	B	2.5	1.5
330	0.7936040851472588	9.235020011927478e-73	0.7618882136089516	7.822593824856877e-64	205	11	30	84	Approved	peptide	B	2.5	1.5
169	0.6606334275864157	1.4806080023840665e-22	0.6968987706227346	6.806513322285278e-26	133	6	16	14	Motif	receptor	A	5.0	1.5
126	0.5319849626254504	1.4521231273302262e-10	0.5144910755951909	7.155425867653646e-10	101	2	15	8	Non-motif	receptor	A	5.0	1.5
1016	0.5618782054163413	1.306037634075685e-85	0.55935543160771	1.0621758967055096e-84	838	26	78	74	Approved	receptor	A	5.0	1.5
77	0.8054485939078445	1.0343128920160406e-18	0.7972170192690126	4.16301920440251e-18	49	0	6	22	Motif	peptide	B	5.0	1.5
52	0.570785728202039	9.94737773567829e-06	0.5398840129233596	3.61789669393092e-05	25	5	9	13	Non-motif	peptide	B	5.0	1.5
412	0.7153879250886219	8.05293563056905e-66	0.7167662014203957	3.503008750560673e-66	259	13	42	98	Approved	peptide	B	5.0	1.5
169	0.6606334275864157	1.4806080023840665e-22	0.6968987706227346	6.806513322285278e-26	133	6	16	14	Motif	receptor	A	1000.0	1.5
219	0.353785362868605	7.42335840662258e-08	0.4161167459858197	1.3983297912541944e-10	183	2	26	8	Non-motif	receptor	A	1000.0	1.5
1692	0.3927780080024467	1.58937495405323e-63	0.3431741265598513	5.858509010024163e-48	1405	37	175	75	Approved	receptor	A	1000.0	1.5
77	0.8054485939078445	1.0343128920160406e-18	0.7972170192690126	4.16301920440251e-18	49	0	6	22	Motif	peptide	B	1000.0	1.5
79	0.45462250030339807	2.566350498227612e-05	0.43819765831163204	5.3690073746322514e-05	39	6	17	17	Non-motif	peptide	B	1000.0	1.5
654	0.549820057811766	6.144522781812787e-53	0.513419582933744	2.8939934271094604e-45	420	20	105	109	Approved	peptide	B	1000.0	1.5
155	0.6578134765076873	1.4215845148793567e-20	0.7009730638911135	3.1660799901984876e-24	101	3	20	31	Motif	receptor	A	2.5	1.0
73	0.6001919616627166	1.9967552129181508e-08	0.5578422686292063	2.9412282057206996e-07	50	1	10	12	Non-motif	receptor	A	2.5	1.0
780	0.6499372375952126	8.133369007039154e-95	0.6517033323837589	1.7193351389039506e-95	539	37	79	125	Approved	receptor	A	2.5	1.0
71	0.7974495965091637	8.64673113219918e-17	0.7922716722894765	1.8816785031440365e-16	37	3	7	24	Motif	peptide	B	2.5	1.0
31	0.6146408671007745	0.0002343129283239637	0.540557675944149	0.0016927823510834111	12	1	7	11	Non-motif	peptide	B	2.5	1.0
330	0.7936040851472588	9.235020011927478e-73	0.7618882136089516	7.822593824856877e-64	163	14	30	123	Approved	peptide	B	2.5	1.0
169	0.6606334275864157	1.4806080023840665e-22	0.6968987706227346	6.806513322285278e-26	115	3	20	31	Motif	receptor	A	5.0	1.0
126	0.5319849626254504	1.4521231273302262e-10	0.5144910755951909	7.155425867653646e-10	87	2	19	18	Non-motif	receptor	A	5.0	1.0
1016	0.5618782054163413	1.306037634075685e-85	0.55935543160771	1.0621758967055096e-84	702	56	117	141	Approved	receptor	A	5.0	1.0
77	0.8054485939078445	1.0343128920160406e-18	0.7972170192690126	4.16301920440251e-18	41	3	7	26	Motif	peptide	B	5.0	1.0
52	0.570785728202039	9.94737773567829e-06	0.5398840129233596	3.61789669393092e-05	18	3	9	22	Non-motif	peptide	B	5.0	1.0
412	0.7153879250886219	8.05293563056905e-66	0.7167662014203957	3.503008750560673e-66	207	17	44	144	Approved	peptide	B	5.0	1.0
169	0.6606334275864157	1.4806080023840665e-22	0.6968987706227346	6.806513322285278e-26	115	3	20	31	Motif	receptor	A	1000.0	1.0
219	0.353785362868605	7.42335840662258e-08	0.4161167459858197	1.3983297912541944e-10	152	3	43	21	Non-motif	receptor	A	1000.0	1.0
1692	0.3927780080024467	1.58937495405323e-63	0.3431741265598513	5.858509010024163e-48	1201	66	275	150	Approved	receptor	A	1000.0	1.0
77	0.8054485939078445	1.0343128920160406e-18	0.7972170192690126	4.16301920440251e-18	41	3	7	26	Motif	peptide	B	1000.0	1.0
79	0.45462250030339807	2.566350498227612e-05	0.43819765831163204	5.3690073746322514e-05	27	5	20	27	Non-motif	peptide	B	1000.0	1.0
654	0.549820057811766	6.144522781812787e-53	0.513419582933744	2.8939934271094604e-45	324	26	140	164	Approved	peptide	B	1000.0	1.0
